sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads
CH_Vau_Vul_1_2018-09-18,NA,CH_Vau_Vul,46.93947,7.05332,Europe,Switzerland,Vully,Vaud,18,18,9,9,2018,261,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Esra Durmaz; Envel Kerdaffrec,NA,NA,DrosEu-113,FALSE,6.1,Hold,DIN,Pass,NA
CH_Vau_Vul_1_2019-07-17,NA,CH_Vau_Vul,46.93947,7.05332,Europe,Switzerland,Vully,Vaud,17,17,7,7,2019,198,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Esra Durmaz; Envel Kerdaffrec,NA,NA,DrosEu-109,FALSE,5.9,Fail,DIN,Pass,NA
CH_Vau_Vul_1_2019-09-24,NA,CH_Vau_Vul,46.93947,7.05332,Europe,Switzerland,Vully,Vaud,24,24,9,9,2019,267,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Esra Durmaz; Envel Kerdaffrec,NA,NA,DrosEu-110,FALSE,6.8,Hold,DIN,Pass,71014878
CH_Vau_Vul_1_2020-07-29,NA,CH_Vau_Vul,46.93947,7.05332,Europe,Switzerland,Vully,Vaud,29,29,7,7,2020,211,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Margot Paris; Envel Kerdaffrec,NA,NA,DrosEu-111,FALSE,5.9,Fail,DIN,Pass,NA
CH_Vau_Vul_1_2020-09-15,NA,CH_Vau_Vul,46.93947,7.05332,Europe,Switzerland,Vully,Vaud,15,15,9,9,2020,259,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Envel Kerdaffrec,NA,NA,DrosEu-112,FALSE,6.2,Hold,DIN,Pass,67718066
CM_Nor_Oku_1_2004-04-15,CO,CM_Nor_Oku,6.25,10.43,Africa,Cameroon,Oku,Nord-Ouest,1,30,4,4,2004,106,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,10,NA,haploid_embryo,NA,NA,dgn,J._Pool,NA,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
CY_Nic_Nic_1_2014-08-10,CY_Nic_14_11,CY_Nic_Nic,35.066461,33.322646,Asia,Cyprus,Nicosia,Nicosia,10,10,8,8,2014,222,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,NextSeq 500,DrosEU,Eliza_Argyridou,SRR5647756,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2014-06-26,DE_Bro_14_14,DE_Bad_Bro,48.218024,7.819513,Europe,Germany,Broggingen,Baden-Wurttemberg,26,26,6,6,2014,177,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Fabian_Staubach,SRR5647762,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2014-10-15,DE_Bro_14_15,DE_Bad_Bro,48.218024,7.819513,Europe,Germany,Broggingen,Baden-Wurttemberg,15,15,10,10,2014,288,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Fabian_Staubach,SRR5647761,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2015-06-30,DE_Bro_15_53,DE_Bad_Bro,48.218,7.82,Europe,Germany,Broggingen,Baden-Wurttemberg,30,30,6,6,2015,181,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Fabian_Staubach,SRR8439148,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2015-10-25,DE_Bro_15_54,DE_Bad_Bro,48.218,7.82,Europe,Germany,Broggingen,Baden-Wurttemberg,25,25,10,10,2015,298,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Fabian_Staubach,SRR8439144,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2016-07-24,DE_Bro_16_10,DE_Bad_Bro,48.218024,7.819513,Europe,Germany,Broggingen,Baden-Wurttemberg,24,24,7,7,2016,206,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Fabian_Staubach,SRR8494434,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2016-10-23,DE_Bro_16_11,DE_Bad_Bro,48.218024,7.819513,Europe,Germany,Broggingen,Baden-Wurttemberg,23,23,10,10,2016,297,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Fabian_Staubach,SRR8494452,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2017-06-27,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,27,27,6,6,2017,178,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-191,FALSE,7,Pass,NA,Pass,NA
DE_Bad_Bro_1_2018-06-26,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,26,26,6,6,2018,177,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-192,FALSE,7.9,Pass,NA,Pass,NA
DE_Bad_Bro_1_2019-07-03,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,3,3,7,7,2019,184,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,39,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-193,FALSE,7.2,Pass,NA,Pass,89887996
DE_Bad_Bro_1_2020-07-16,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,16,16,7,7,2020,198,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-194,FALSE,5.2,Fail,DIN,Fail,74968532
DE_Bad_Bro_1_2020-10-24,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,24,24,10,10,2020,298,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-195,FALSE,5.2,Fail,DIN,Pass,NA
DE_Bad_Bro_1_2021-07-21,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,12,31,7,7,2021,202,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-189,FALSE,6.6,Hold,DIN,Pass,63388486
DE_Bad_Bro_1_2021-10-20,NA,DE_Bad_Bro,48.217898,7.819194,Europe,Germany,Broggingen,Baden-Wurttemberg,17,23,10,10,2021,293,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Fabian Staubach,NA,NA,DrosEu-190,FALSE,8.1,Pass,NA,Pass,67582736
DE_Bad_Wal_1_2019-10-02,NA,DE_Bad_Wal,47.622135,8.217058,Europe,Germany,Waldshut,Baden-Wurttemberg,2,2,10,10,2019,275,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Christian Feller,NA,NA,DrosEu-171,FALSE,6,Hold,DIN,Pass,NA
DE_Bad_Wal_1_2020-10-02,NA,DE_Bad_Wal,47.622135,8.217058,Europe,Germany,Waldshut,Baden-Wurttemberg,2,2,10,10,2020,276,TRUE,NA,BR-1,TR-1,NA,NA,Apples,1,20,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Christian Feller,NA,NA,DrosEu-117,FALSE,5.7,Fail,DIN,Fail,79008710
DE_Bay_Mun_1_2014-06-19,DE_Mun_14_31,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,19,19,6,6,2014,170,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,NextSeq 500,DrosEU,John_Parsch,SRR5647744,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2014-09-03,DE_Mun_14_32,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,3,3,9,9,2014,246,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,NextSeq 500,DrosEU,John_Parsch,SRR5647745,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2015-06-01,DE_Mun_15_45,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,1,1,6,6,2015,152,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,HiSeq X Ten,DrosEU,Eliza_Argyridou,SRR8439125,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2015-09-01,DE_Mun_15_46,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,1,1,9,9,2015,244,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,HiSeq X Ten,DrosEU,Eliza_Argyridou,SRR8439124,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2016-06-25,DE_Mun_16_12,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,25,25,6,6,2016,177,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,HiSeq X Ten,DrosEU,John_Parsch,SRR8494451,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2016-09-01,DE_Mun_16_13,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,1,1,9,9,2016,245,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild_caught_and_F1,pooled,NA,HiSeq X Ten,DrosEU,John_Parsch,SRR8494454,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DE_Bay_Mun_1_2017-06-20,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,20,20,6,6,2017,171,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-231,FALSE,4.8,Fail,DIN,Fail,79023794
DE_Bay_Mun_1_2017-09-03,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,3,3,9,9,2017,246,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-232,FALSE,5.8,Fail,DIN,Pass,NA
DE_Bay_Mun_1_2018-06-25,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,25,25,6,6,2018,176,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-144,TRUE,3.9,Fail,DIN,No sequencing,NA
DE_Bay_Mun_1_2018-09-09,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,9,9,9,9,2018,252,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-145,FALSE,5.7,Fail,DIN,Fail,82710116
DE_Bay_Mun_1_2019-06-22,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,22,22,6,6,2019,173,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Jonh Parsch,NA,NA,DrosEu-91,FALSE,6.6,Hold,DIN,Pass,60137378
DE_Bay_Mun_1_2019-09-02,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,2,2,9,9,2019,245,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Jonh Parsch,NA,NA,DrosEu-94,FALSE,6.8,Hold,DIN,Pass,70308422
DE_Bay_Mun_1_2020-06-25,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,25,25,6,6,2020,177,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-92,TRUE,2.8,Fail,DIN,No sequencing,NA
DE_Bay_Mun_1_2020-09-05,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,5,5,9,9,2020,249,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-95,FALSE,6.8,Hold,DIN,Pass,62311364
DE_Bay_Mun_1_2021-06-25,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,25,25,6,6,2021,176,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-93,FALSE,5.2,Fail,DIN,Pass,NA
DE_Bay_Mun_1_2021-09-04,NA,DE_Bay_Mun,48.18,11.61,Europe,Germany,Munich,Bayern,4,4,9,9,2021,247,TRUE,NA,BR-1,TR-1,NA,NA,Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,John Parsch,NA,NA,DrosEu-96,TRUE,4.5,Fail,DIN,No sequencing,NA
DE_Bay_Wue_1_2020-07-18,NA,DE_Bay_Wue,49.780082,9.974293,Europe,Germany,Wuerzburg,Bayern,8,29,7,7,2020,200,FALSE,NA,BR-1,TR-1,NA,NA,Apples + yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Christian Wegener; Susanne Kluhspies,NA,NA,DrosEu-105,FALSE,6.2,Hold,DIN,Pass,68017570
DE_Bay_Wue_1_2020-09-23,NA,DE_Bay_Wue,49.778659,9.975929,Europe,Germany,Wuerzburg,Bayern,23,23,9,9,2020,267,TRUE,NA,BR-1,TR-1,NA,NA,Grapes,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Christian Wegener; Susanne Kluhspies,NA,NA,DrosEu-106,FALSE,6.4,Hold,DIN,Pass,67361446
DE_Bay_Wue_1_2021-07-27,NA,DE_Bay_Wue,49.778659,9.975929,Europe,Germany,Wuerzburg,Bayern,20,4,7,8,2021,208,FALSE,NA,BR-1,TR-1,NA,NA,Apples + yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Christian Wegener; Susanne Kluhspies,NA,NA,DrosEu-49,FALSE,5,Fail,DIN,Pass,NA
DE_Bay_Wue_1_2021-10-18,NA,DE_Bay_Wue,49.780082,9.974293,Europe,Germany,Wuerzburg,Bayern,18,18,10,10,2021,291,TRUE,NA,BR-1,TR-1,NA,NA,Grapes,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Christian Wegener; Susanne Kluhspies,NA,NA,DrosEu-48,FALSE,6.7,Hold,DIN,Pass,NA
DE_Bra_Ber_1_2021-07-24,NA,DE_Bra_Ber,52.69907,13.07596,Europe,Germany,Berlin,Brandenburg,24,24,7,7,2021,205,TRUE,NA,BR-1,TR-1,NA,Oberkramer - SL Gartenbau,Banana+Yeast; Apple+Yeast,1,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Bengisu Subasi,NA,NA,DrosEu-78,FALSE,6.7,Hold,DIN,Pass,68601750
DE_Bra_Ber_2_2021-07-24,NA,DE_Bra_Ber,52.38012,12.86791,Europe,Germany,Berlin,Brandenburg,24,24,7,7,2021,205,TRUE,NA,BR-1,TR-1,NA,Obsthof Lindecke,Banana+Yeast; Apple+Yeast,2,40,Wild flies,pooled,Fly trap,NovaSeq6000,DrosEU_3,Bengisu Subasi,NA,NA,DrosEu-97,FALSE,6.5,Hold,DIN,Pass,NA
DK_Mid_Kar_1_2014-09-01,DK_Kar_14_39,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,1,1,9,9,2014,244,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Mads_Fristrup_Schou,SRR5647772,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DK_Mid_Kar_1_2014-11-25,DK_Kar_14_41,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,25,25,11,11,2014,329,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,NextSeq 500,DrosEU,Mads_Fristrup_Schou,SRR5647771,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DK_Mid_Kar_1_2016-06-08,DK_Kar_16_2,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,8,8,6,6,2016,160,TRUE,spring,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Mads_Fristrup_Schou,SRR8494440,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DK_Mid_Kar_1_2016-09-15,DK_Kar_16_3,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,15,15,9,9,2016,259,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Mads_Fristrup_Schou,SRR8494438,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DK_Mid_Kar_1_2016-11-22,DK_Kar_16_4,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,22,22,11,11,2016,327,TRUE,fall,BR-1,TR-1,NA,NA,NA,1,40,wild,pooled,NA,HiSeq X Ten,DrosEU,Mads_Fristrup_Schou,SRR8494437,https://doi.org/10.1093/molbev/msab259,NA,NA,NA,NA,NA,NA,NA
DK_Mid_Kar_1_2017-08-08,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,8,8,8,8,2017,220,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Mads F. Schou,NA,NA,DrosEu-234,FALSE,6.5,Hold,DIN,Pass,NA
DK_Mid_Kar_1_2018-06-30,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,26,4,6,7,2018,181,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,39,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Trine Bech Sogaard,NA,NA,DrosEu-174,FALSE,6.2,Hold,DIN,Pass,NA
DK_Mid_Kar_1_2018-10-05,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,5,5,10,10,2018,278,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Mads F. Schou,NA,NA,DrosEu-175,FALSE,6.4,Hold,DIN,Pass,NA
DK_Mid_Kar_1_2019-07-09,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,9,9,7,7,2019,190,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Trine Bech Sogaard,NA,NA,DrosEu-168,FALSE,6.7,Hold,DIN,Pass,NA
DK_Mid_Kar_1_2019-10-01,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,1,1,10,10,2019,274,TRUE,NA,BR-1,TR-1,NA,NA,NA,1,40,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Mads F. Schou,NA,NA,DrosEu-237,FALSE,6.5,Hold,DIN,Pass,70108250
DK_Mid_Kar_1_2020-07-31,NA,DK_Mid_Kar,55.945128,10.212586,Europe,Denmark,Karensminde,Midtjylland,31,31,7,7,2020,213,TRUE,NA,BR-1,TR-1,NA,NA,?,1,35,Wild flies,pooled,Sweep netting,NovaSeq6000,DrosEU_3,Jesper G. Sorensen,NA,NA,DrosEu-114,FALSE,6.7,Hold,DIN,Pass,60865696
